Neighborhood,Borough,Latitude,Longitude,NumberOfStores,NumberOfCrimes,Area
Seagate-Coney Island,Brooklyn,40.57621597302623,-73.98544778674209,15,1017,3.8782040592971803
North Riverdale-Fieldston-Riverdale,Bronx,40.89892546148038,-73.90765096923549,10,309,4.90482719609833
Spuyten Duyvil-Kingsbridge,Bronx,40.88254312087434,-73.90998143259696,19,988,2.32140991784058
Windsor Terrace,Brooklyn,40.653863535268805,-73.97880894678471,8,229,1.4041728253524801
Prospect Heights,Brooklyn,40.677392117572126,-73.96739602439801,2,387,1.0230828036804198
Canarsie,Brooklyn,40.63923809661268,-73.89815595770521,17,1459,8.209887758967591
Flatbush,Brooklyn,40.637594867029065,-73.96142115000494,18,2159,4.5254807436264
Flatlands,Brooklyn,40.626811465065515,-73.93123723114235,14,1169,5.43417762037964
Glen Oaks-Floral Park-New Hyde Park,Queens,40.74563612492318,-73.7130763084286,10,187,4.56670308317566
Douglas Manor-Douglaston-Little Neck,Queens,40.763797914094695,-73.73816081821063,14,209,6.8394178930984495
Soundview-Castle Hill-Clason Point-Harding Park,Bronx,40.81772092383427,-73.85497931921599,17,1956,5.19838434850159
Park Slope-Gowanus,Brooklyn,40.6718732470017,-73.98357850125946,13,1187,4.25090556569824
Charleston-Richmond Valley-Tottenville,Staten Island,40.528659004563025,-74.23267441289767,18,369,14.5674728892021
Rossville-Woodrow,Staten Island,40.54019244241828,-74.20787291420952,11,179,6.496326653708651
Central Harlem North-Polo Grounds,Manhattan,40.81960656708679,-73.94025778682558,12,2816,2.54034893869171
East New York,Brooklyn,40.65786451145316,-73.88000632226817,26,4166,11.7025545628311
Cypress Hills-City Line,Brooklyn,40.68152197439983,-73.88125242510645,10,902,2.7609803754425
Yorkville,Manhattan,40.777784060156094,-73.9473200988677,16,1050,1.36020403132782
Auburndale,Queens,40.75255125290122,-73.78901886734153,9,187,3.4164862130111704
East Flushing,Queens,40.75351879574027,-73.8074310108662,2,230,2.94537357125854
Morrisania-Melrose,Bronx,40.82732325607786,-73.90194504134872,0,1802,1.6891753657379198
Marble Hill-Inwood,Manhattan,40.86739476283433,-73.91714045019667,10,1084,1.77327156413422
Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan,40.748807871166804,-74.0016803611078,18,2999,3.7068405598510696
West Village,Manhattan,40.733741487405574,-74.00449102772296,7,2571,2.49706522800903
Upper West Side,Manhattan,40.78964591396801,-73.975525313715,15,2278,3.43799424562836
Norwood,Bronx,40.87753196052903,-73.87934188658404,7,1424,1.57249283207245
Bedford Park-Fordham North,Bronx,40.86749412042169,-73.89087153276199,4,1469,1.49988835031281
Fordham South,Bronx,40.85836103460377,-73.89847189341306,3,977,0.630887523640442
Mount Hope,Bronx,40.848982050027104,-73.90547502841234,7,2056,1.47167108445282
Eastchester-Edenwald-Baychester,Bronx,40.88116450332042,-73.828642893256,15,671,4.02567942486725
Co-op City,Bronx,40.87375443798371,-73.82847994821026,16,818,3.9833695003067002
East Tremont,Bronx,40.84499379967164,-73.88231350888655,2,1608,1.92551889047089
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,40.58715571317491,-73.9373372429605,28,1005,6.33416162804718
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,40.576374617917836,-73.86708200881537,1,430,9.943699704828639
Grymes Hill-Clifton-Fox Hills,Staten Island,40.61885536909626,-74.08623686241413,6,421,3.77525167794952
Stapleton-Rosebank,Staten Island,40.619908903765,-74.07361969794633,16,755,4.64326419830627
Springfield Gardens South-Brookville,Queens,40.662603881485964,-73.76691952329432,6,540,4.328870332980349
Rosedale,Queens,40.655251289847115,-73.74147938992051,4,412,6.15689921011658
Oakwood-Oakwood Beach,Staten Island,40.56230156115185,-74.1232633553245,5,242,5.59620705901108
New Dorp-Midland Beach,Staten Island,40.5714698058243,-74.10451530413042,17,529,5.542927882131201
East Williamsburg,Brooklyn,40.7137746405285,-73.93582079513203,13,934,3.9132858703353897
Grasmere-Arrochar-Ft. Wadsworth,Staten Island,40.60042857901477,-74.0730994615626,7,270,4.092558234988401
Old Town-Dongan Hills-South Beach,Staten Island,40.58739777636197,-74.08422537800679,9,404,6.70094939449768
Brooklyn Heights-Cobble Hill,Brooklyn,40.695343724523894,-73.9947966131726,6,245,0.998368557199097
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,40.693680490851825,-73.98607595149178,12,1927,2.84778325135956
Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,40.61373023926812,-73.91341655850094,23,607,6.94639099542999
park-cemetery-etc-Brooklyn,Brooklyn,40.62706127673407,-73.90653125375292,0,266,22.8838351303101
Pelham Parkway,Bronx,40.85421535406326,-73.85270604076614,8,804,2.3032723776779203
Carroll Gardens-Columbia Street-Red Hook,Brooklyn,40.675889130180195,-74.00823327863398,17,845,4.4601523050613405
Bayside-Bayside Hills,Queens,40.76289752026778,-73.77229874770147,26,525,8.07985899491882
West Concourse,Bronx,40.8302724645451,-73.92346837307129,3,1909,1.93797223688965
Hamilton Heights,Manhattan,40.82686230101572,-73.94905816231243,9,1563,1.60961359704437
East Harlem South,Manhattan,40.790282258638534,-73.94490512854358,4,2039,1.66506875712128
Turtle Bay-East Midtown,Manhattan,40.753001626421735,-73.96939064262241,8,1170,1.73891637474976
Lenox Hill-Roosevelt Island,Manhattan,40.76340766856367,-73.95333446039668,11,1045,2.15085986419067
Old Astoria,Queens,40.771191643872164,-73.92849013339425,3,445,1.56195969170074
park-cemetery-etc-Manhattan,Manhattan,40.77687518346626,-73.96513157974515,0,467,9.15435469597168
Steinway,Queens,40.77850321202693,-73.90327169886709,20,620,5.77242937630768
Airport,Queens,40.6885878258841,-73.81981680005049,0,10,22.8199023831924
Ft. Totten-Bay Terrace-Clearview,Queens,40.784460616431254,-73.78394225526297,5,110,4.629254715550229
Central Harlem South,Manhattan,40.80447404879348,-73.95069640502805,5,1926,1.4439255707778902
East Harlem North,Manhattan,40.80371523113522,-73.93698301681425,8,3110,2.44948984182281
Flushing,Queens,40.76150752932029,-73.8272634506752,32,1632,3.78651047339935
Whitestone,Queens,40.78987334112884,-73.81776273744131,15,413,6.90505944108582
Springfield Gardens North,Queens,40.671784551524304,-73.77281990185452,5,989,2.8432588355835
Baisley Park,Queens,40.67922799905355,-73.79033902210354,12,906,4.40384557306366
Sunset Park East,Brooklyn,40.64142695316139,-74.00430420113936,11,957,2.7110150225433403
Oakland Gardens,Queens,40.74352723594401,-73.75429825551645,10,248,5.1009720070846605
Sunset Park West,Brooklyn,40.65488605460984,-74.01233033733051,21,1373,4.99899154224548
Kingsbridge Heights,Bronx,40.86490794885799,-73.9064513316122,2,715,1.31632307357025
University Heights-Morris Heights,Bronx,40.85371873585007,-73.91534036866102,3,1413,2.12554854647522
New Brighton-Silver Lake,Staten Island,40.63089232196238,-74.10177297097154,12,312,4.71372654738007
West New Brighton-New Brighton-St. George,Staten Island,40.63903172175087,-74.10089378104499,10,1210,5.60303248378296
Ozone Park,Queens,40.67560177487941,-73.84767412980808,8,454,2.50168396434937
Lindenwood-Howard Beach,Queens,40.657244966384404,-73.843675593724,11,377,6.45590745059662
Kew Gardens Hills,Queens,40.72626514918436,-73.81823994349746,8,489,3.78883605122986
Great Kills,Staten Island,40.54769996045505,-74.14773026582148,20,419,8.96064923210449
park-cemetery-etc-Staten Island,Staten Island,40.54564771324605,-74.12185573275629,0,2,2.40155529769897
Hunts Point,Bronx,40.81180792040761,-73.88731724651764,20,1422,4.97394919313965
Corona,Queens,40.74398384742606,-73.85711550808784,4,758,2.00773173491516
North Corona,Queens,40.752742537526316,-73.86271248589144,5,923,1.80038495065155
East Village,Manhattan,40.727804731850746,-73.98595551240703,9,1095,1.08942425994415
Crotona Park East,Bronx,40.83332994451992,-73.88526186087955,7,1106,1.63107017569733
Westerleigh,Staten Island,40.61697155816765,-74.12580714380444,13,297,6.32561885231934
Port Richmond,Staten Island,40.628305055207726,-74.1395988815154,10,470,3.64199016577911
Lower East Side,Manhattan,40.717434810471964,-73.98019568913108,5,2077,2.3296937995132403
Brighton Beach,Brooklyn,40.58097620351362,-73.9608656547505,15,616,1.71800273083038
West Brighton,Brooklyn,40.57917629617406,-73.97367800104284,3,476,0.873890359352112
Forest Hills,Queens,40.722114315297176,-73.84857562558,27,963,5.78276286488342
Rego Park,Queens,40.725286064728934,-73.86273895593456,10,444,1.99418124406586
Murray Hill-Kips Bay,Manhattan,40.74206304844138,-73.97558297099211,10,1014,1.44858749607544
Jackson Heights,Queens,40.75761851306655,-73.88405603993971,21,2173,4.78585656522369
Woodside,Queens,40.75001746640604,-73.90433453171602,5,584,2.82467329914551
East Concourse-Concourse Village,Bronx,40.83065013792598,-73.91531435936328,3,1730,1.8221676708496102
Briarwood-Jamaica Hills,Queens,40.71166249088481,-73.80769945388023,5,457,2.9377366720245397
Kew Gardens,Queens,40.70779194532936,-73.82947536069375,6,223,2.04925281284485
Astoria,Queens,40.76216965367208,-73.92095080113928,16,1545,3.9336060839325
Queensboro Hill,Queens,40.74254333515843,-73.81717547289765,1,254,2.6541903716979998
Gramercy,Manhattan,40.737192412759505,-73.9838251172284,3,889,0.752689065812683
Stuyvesant Town-Cooper Village,Manhattan,40.73121739443726,-73.97472473250671,2,82,0.5582244162292479
Greenpoint,Brooklyn,40.729397269792806,-73.94847946289323,18,782,3.53219307877655
Hunters Point-Sunnyside-West Maspeth,Queens,40.738723640672596,-73.93348122722703,27,1521,10.2421820990509
Williamsbridge-Olinville,Bronx,40.88193159039018,-73.8584947967055,9,2050,3.62755975956268
park-cemetery-etc-Bronx,Bronx,40.86448678167405,-73.84262991290203,0,557,22.0837185395706
Woodhaven,Queens,40.68892827025922,-73.85530753754024,14,791,3.7033908436294602
park-cemetery-etc-Queens,Queens,40.67693447794221,-73.82381921415114,0,289,31.167489664817797
Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,40.635002081074234,-74.1666830416472,9,1018,8.95022685075836
Manhattanville,Manhattan,40.81884743055047,-73.9545857083068,2,838,1.06470777074738
Morningside Heights,Manhattan,40.80776004876145,-73.96204801070841,9,1051,2.01559142384949
Hammels-Arverne-Edgemere,Queens,40.595471252186535,-73.79039264828951,13,1471,6.18957938149109
Far Rockaway-Bayswater,Queens,40.60249412516606,-73.75611324508223,14,1563,5.415988161772161
SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,40.721118112474315,-74.0067307349455,8,2050,2.50326816868286
Chinatown,Manhattan,40.71584695153124,-73.99450797625607,5,1398,1.45019113012543
Claremont-Bathgate,Bronx,40.84492406004813,-73.89903322348992,5,1493,1.6451969624710099
Belmont,Bronx,40.85816292102444,-73.8858381252006,10,862,1.35594158020477
Washington Heights North,Manhattan,40.85710027900974,-73.93401636783433,16,1335,2.2667405754135097
Washington Heights South,Manhattan,40.842054063695436,-73.94144851950848,15,1987,2.30927692297058
Van Nest-Morris Park-Westchester Square,Bronx,40.84833653892774,-73.8498564769805,10,744,3.6302211315368695
Westchester-Unionport,Bronx,40.83298422758303,-73.84863489261998,3,588,2.39452591327972
Melrose South-Mott Haven North,Bronx,40.81814482074108,-73.91375344678393,15,2106,1.72717638905029
Mott Haven-Port Morris,Bronx,40.80673586904602,-73.91485072158055,13,3067,4.1898550639633205
Dyker Heights,Brooklyn,40.62133430650131,-74.01370092365103,8,425,2.99186843388367
Bay Ridge,Brooklyn,40.623705145890106,-74.02866095881633,25,1325,6.7173227256073
New Springville-Bloomfield-Travis,Staten Island,40.594602710288925,-74.1737773969023,11,484,32.7290095513824
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,40.588213117783056,-74.13180188159949,0,412,18.4881677168549
